name,price,available,quantity
"Le Chameau Burj Dubai  Arina 100ml(fem)",175,true,9
"Maison Alhambra Alpine 100ml(masc)",140,true,1
"Maison Alhambra Athena 100ml(fem)",215,true,2
"Maison Alhambra B.A.D Femme 100ml",135,true,8
"Maison Alhambra B.A.D Homme 100ml",145,true,19
"Maison Alhambra Candid Tonight 100ml(fem)",135,false,
"Maison Alhambra Chants Tanderina 100ml(fem)",130,true,8
"Maison Alhambra Como Moiselle 100ml(fem)",150,true,24
"Maison Alhambra Delilah Pour Femme 100ml",170,true,
"Maison Alhambra Glacier Bold 100ml(unissex)",135,false,
"Maison Alhambra Infin musk 100ml(masc)",135,true,1
"Maison Alhambra Infini Elixir 100ml(unissex)",130,true,10
"Maison Alhambra Infini Oud 100ml(unisex)",135,true,8
"Maison Alhambra Infini Rose 100ml(unisex)",135,false,0
"Maison Alhambra Intrude 100ml(fem)",135,true,
"Maison Alhambra Jardin de rêve 100ml(fem)",160,true,6
"Maison Alhambra Jorge Di Profumo Aqua 100ml(masc)",115,true,2
"Maison Alhambra Jorge Di Profumo Deep Blue 100ml(unisex)",130,true,
"Maison Alhambra Jorge Di Profumo preto 100ml(masc)",130,true,7
"Maison Alhambra La Rouge Baroque 100ml(fem)",125,true,
"Maison Alhambra La Rouge Baroque Extreme 100ml(fem)",140,true,5
"Maison Alhambra La Vivacite Intensa 100ml(fem)",140,true,
"Maison Alhambra La Voie 100ml(fem)",120,true,
"Maison Alhambra Leonie 100ml(fem)",150,true,1
"Maison Alhambra Leonie Intense 100ml(fem)",135,true,
"Maison Alhambra Maitre De Blue 100ml(masc)",145,true,3
"Maison Alhambra Mia Dolcezza Verde 100ml(fem)",100,false,
"Maison Alhambra No.2 Men 80ml",130,true,26
"Maison Alhambra Panther Pour Homme 100ml(masc)",135,true,
"Maison Alhambra Perseus 100ml(masc)",155,true,4
"Maison Alhambra Perseus 100ml(unisex)",145,true,10
"Maison Alhambra Philos Centro 100ml(unissex)",110,true,11
"Maison Alhambra Philos Messenger 100ml(unissex) ",135,false,
"Maison Alhambra Philos Opus Noir 100ml(unissex)",110,true,12
"Maison Alhambra Philos Pura 100ml(unisex)",155,true,
"Maison Alhambra Pink Eclipse 100ml(fem)",240,true,8
"Maison Alhambra Reyna Pour Femme 100ml",125,true,13
"Maison Alhambra Rose Seduction Vip Pour Femme 100ml",160,true,
"Maison Alhambra Salvo 100ml(masc)",135,true,65
"Maison Alhambra Salvo Elixir 60ml(masc)",125,true,
"Maison Alhambra Salvo Intense 100ml(masc)",145,true,32
"Maison Alhambra Sceptre Bronzite 100ml(unisex)",150,true,
"Maison Alhambra Sceptre Malachite 100ml(unisex)",150,true,9
"Maison Alhambra So Candid Pour Femme 100ml",140,true,2
"Maison Alhambra So Candid Pour Homme 100ml(masc)",180,true,5
"Maison Alhambra So Candid Rouge 85ml(fem)",140,true,10
"Maison Alhambra Summer Forever 100ml(fem)",145,true,1
"Maison Alhambra Victoria Flower Orchid 100ml(fem)",120,true,10
"Maison Alhambra Victoria Flower Rosa Lilium 100ml(fem)",120,true,10
"Maison Alhambra Victorioso Nero 100ml(masc)",140,true,5
"Maison Alhambra Vogue Night 100ml(fem)",120,true,8
"Maison Alhambra Vogue Party 100ml(fem)",120,true,5
"Maison Alhambra Vogue Rouge 100ml(fem)",120,true,7
"Maison Alhambra Yeah! Man 100ml",140,true,3
"Maison Asrar Asala 100ml(fem)",205,true,3
"Maison Asrar Bloom Bloom 100ml(fem)",205,true,13
"Maison Asrar Cascade 100ml(unissex)",210,true,4
"Maison Asrar Coffee Blend 100ml(unissex)",195,true,12
"Maison Asrar DXB 100ml(unissex)",295,true,5
"Maison Asrar Fakhama 100ml(unissex)",175,false,0
"Maison Asrar Gold Noir 110ml(unissex)",195,true,14
"Maison Asrar Hunter 100ml(masc)",205,true,9
"Maison Asrar Joy 100ml(fem)",185,true,5
"Maison Asrar Khayyal 100ml(unissex)",210,true,4
"Maison Asrar Legacy 100ml(unissex)",240,true,12
"Maison Asrar Lily 100ml(fem)",215,true,5
"Maison Asrar Lollita 100ml(fem)",205,true,9
"Maison Asrar Love Key 100ml(fem)",210,true,19
"Maison Asrar Lumiere 110ml(unissex)",185,true,5
"Maison Asrar Luna 100ml(fem)",185,true,2
"Maison Asrar Masterpiece 100ml(unissex)",180,true,11
"Maison Asrar Mohra 100ml(unissex)",210,true,4
"Maison Asrar Plot Twist 100ml(unissex)",210,true,15
"Maison Asrar Red Carpet 100ml(fem)",240,true,12
"Maison Asrar Runway Girl 100ml(fem)",240,true,11
"Maison Asrar Smokey Eyes 100ml(fem)",290,true,11
"Maison Asrar Unsolved Mystery 100ml(unissex)",210,true,20
"Maison Asrar Vanilla Aura 100ml(unissex)",345,true,10
"Maison Asrar Vanilla Rouge 100ml(unissex)",195,true,8
"Maison Asrar Vanilla Seduction 100ml(fem)",220,true,12
